member_id,first_name,last_name,gender,mobile_number,email,inscription_date,birthdate,is_ride_owner,license_driving_number,license_driving_date,pet_preference,smoking_preference,bank_account
mem-8902951,Jaleesa,Dirks,F,+33 632 665748,Jaleesa-Dirks86@outlook.com,2019-01-02,1968-3-3,0,,,yes,yes,DE78779128651878995
mem-7170618,Yolanda,Wertman,F,+33 632 284063,Yolanda-Wertman74@gmail.com,2017-06-30,1974-9-22,0,,,yes,no,FR42381867691746108
mem-4764322,Kiersten,Iraheta,M,+33 632 659890,Kiersten.Iraheta56@hotmail.com,2019-08-24,1992-4-29,1,lic-425/541701427,2010-4-12,no,no,LU46309087264834802
mem-4205665,Clorinda,Hutcheson,M,+33 632 574108,Clorinda.Hutcheson31@hotmail.com,2018-06-23,1996-1-7,0,,,no,yes,DE52605181624289466
mem-8297494,Mao,Hutcheson,F,+33 632 735072,Mao-Hutcheson51@hotmail.com,2019-10-18,1999-11-30,0,,,yes,yes,LU73123166599596727
mem-2221918,Kiersten,Dirks,M,+33 632 775903,Kiersten.Dirks10@HEC.com,2019-03-23,1986-3-21,1,lic-846/177599663,2007-9-10,yes,no,FR81455734959203336
mem-5055691,Shyla,Iraheta,F,+33 632 269712,Shyla.Iraheta74@mail.com,2018-02-12,1987-9-18,0,,,yes,no,UK47922985747168887
mem-7295951,Kiersten,Pointer,M,+33 632 578083,Kiersten_Pointer82@mail.com,2017-09-03,1980-6-21,0,,,yes,yes,LU41900047155643480
mem-9767683,Mammie,Mcenaney,F,+33 632 426009,Mammie.Mcenaney74@gmail.com,2018-11-17,1993-9-16,0,,,no,no,UK59502819853252333
mem-9185626,Lynetta,Pacifico,F,+33 632 959954,Lynetta-Pacifico72@mail.com,2017-05-14,1972-2-11,1,lic-589/568855670,1994-7-26,yes,no,UK14369898624865558
mem-8460693,Zelma,Callejas,F,+33 632 235423,Zelma.Callejas94@gmail.com,2018-05-06,1993-11-21,0,,,no,yes,LU95490723834758566
mem-5670820,Keeley,Watlington,F,+33 632 415306,Keeley_Watlington25@mail.com,2019-10-31,1993-8-23,0,,,yes,no,DE52452476411139360
mem-2525276,Kimberley,Bianchi,M,+33 632 741014,Kimberley.Bianchi88@yahoo.com,2018-05-07,1987-8-21,0,,,no,yes,LU61150158388562650
mem-9238906,Jaleesa,Mcenaney,M,+33 632 379082,Jaleesa.Mcenaney39@hotmail.com,2018-04-19,1985-6-23,1,lic-348/298904342,2008-11-19,yes,no,LU35706539143953580
mem-4230876,Clorinda,Bearden,F,+33 632 805000,Clorinda-Bearden32@hotmail.com,2017-06-13,1998-2-17,1,lic-617/158841037,2017-5-29,yes,no,UK63162592375991796
mem-4114012,Mao,Callejas,F,+33 632 404782,Mao-Callejas11@hotmail.com,2019-08-18,1984-2-26,1,lic-453/174638705,2002-10-25,yes,yes,FR92147172953765857
mem-1451150,Jaleesa,Iraheta,M,+33 632 318514,Jaleesa_Iraheta95@HEC.com,2018-09-03,2000-6-23,0,,,no,no,DE78416963062737191
mem-5992513,Chang,Wertman,F,+33 632 613576,Chang_Wertman94@gmail.com,2017-11-13,1995-7-27,0,,,yes,no,FR48429363078750307
mem-2257987,Marcy,Botsford,F,+33 632 730127,Marcy_Botsford88@outlook.com,2019-05-10,1987-4-1,0,,,no,no,LU33602812016018857
mem-4267474,Yolanda,Shelley,F,+33 632 958971,Yolanda-Shelley30@gmail.com,2017-09-09,1992-8-5,0,,,yes,no,LU18464494802895302
mem-1688422,Jaleesa,Watlington,F,+33 632 368292,Jaleesa-Watlington17@outlook.com,2018-08-01,1993-8-5,0,,,yes,yes,FR79994325033427268
mem-1570790,Clorinda,Bearden,M,+33 632 295288,Clorinda-Bearden67@HEC.com,2018-04-26,1985-5-15,0,,,yes,yes,FR62352657732193907
mem-7382076,Chang,Guglielmo,M,+33 632 493163,Chang.Guglielmo43@hotmail.com,2017-10-12,1965-10-28,0,,,no,yes,UK22368443216276655
mem-7758431,Jaleesa,Dirks,M,+33 632 968602,Jaleesa-Dirks52@HEC.com,2017-10-11,1995-6-20,1,lic-915/251598579,2013-7-26,yes,no,DE58351633883538276
mem-5089917,Zelma,Pointer,M,+33 632 455840,Zelma_Pointer58@gmail.com,2018-02-03,1984-9-22,0,,,yes,no,UK29290797414594127
mem-3307468,Kiersten,Trevizo,M,+33 632 315738,Kiersten-Trevizo91@mail.com,2019-11-18,1979-9-9,0,,,no,yes,DE79154177746730972
mem-8747358,Danyel,Pesina,M,+33 632 942141,Danyel_Pesina21@mail.com,2019-04-25,2001-5-19,0,,,yes,yes,LU70237983951991649
mem-1612906,Steffanie,Dirks,F,+33 632 821414,Steffanie.Dirks17@gmail.com,2018-04-05,1969-7-20,0,,,yes,yes,UK73356885837570814
mem-2532082,Mao,Mcenaney,M,+33 632 770987,Mao_Mcenaney91@yahoo.com,2018-05-12,1986-2-6,0,,,yes,no,LU20935819793777112
mem-7697934,Rene,Callejas,M,+33 632 533331,Rene-Callejas54@yahoo.com,2018-01-08,1997-6-5,0,,,yes,no,LU16695022729722174
mem-3470182,Tam,Iraheta,M,+33 632 516100,Tam-Iraheta16@mail.com,2019-04-19,1980-6-15,0,,,no,yes,FR16380115118692825
mem-7980564,Marcy,Watlington,F,+33 632 698168,Marcy.Watlington12@gmail.com,2018-06-06,1994-11-27,0,,,no,yes,LU28856495513408144
mem-1167206,Marcy,Escobar,F,+33 632 139990,Marcy.Escobar38@HEC.com,2018-06-01,1997-4-20,0,,,yes,yes,LU93996583807733798
mem-9715334,Jaleesa,Wertman,M,+33 632 556414,Jaleesa_Wertman66@hotmail.com,2018-05-09,1967-10-20,1,lic-453/660824130,1985-3-10,no,no,DE14502882625116775
mem-7733883,Steffanie,Pacifico,F,+33 632 102602,Steffanie-Pacifico47@mail.com,2017-03-22,1975-6-2,0,,,no,no,UK78912443019912574
mem-8614720,Keeley,Bearden,M,+33 632 562657,Keeley_Bearden31@hotmail.com,2019-07-13,1993-4-12,0,,,no,no,FR92842977699016209
mem-3764964,Chang,Randall,F,+33 632 850681,Chang_Randall53@yahoo.com,2017-07-06,1969-9-27,0,,,yes,no,LU90421358783450106
mem-3798002,Jeanine,Randall,M,+33 632 168875,Jeanine.Randall86@gmail.com,2017-08-31,1969-3-3,0,,,yes,no,LU69513114712999178
mem-8045504,Shyla,Iraheta,F,+33 632 258713,Shyla.Iraheta93@yahoo.com,2018-07-16,1980-2-6,0,,,no,no,LU79882533463058763
mem-3122499,Lynetta,Mcenaney,M,+33 632 594400,Lynetta-Mcenaney27@HEC.com,2017-12-31,1989-1-28,1,lic-287/343659246,2012-9-16,no,yes,UK38882585355231382
mem-4599833,Jenniffer,Watlington,F,+33 632 824874,Jenniffer_Watlington86@gmail.com,2017-11-17,2001-11-12,0,,,yes,no,DE50784670415241991
mem-3804070,Mao,Dirks,F,+33 632 677401,Mao-Dirks21@mail.com,2017-06-13,1989-2-24,0,,,no,no,LU53465312085725517
mem-3725927,Jaleesa,Bianchi,M,+33 632 589315,Jaleesa-Bianchi71@outlook.com,2017-09-26,1990-4-9,0,,,no,yes,DE31950328551411985
mem-1101746,Steffanie,Guglielmo,M,+33 632 526922,Steffanie_Guglielmo80@HEC.com,2017-02-09,1973-8-23,0,,,yes,yes,LU17114483582851810
mem-3418649,Lynetta,Hartwell,F,+33 632 250929,Lynetta.Hartwell53@yahoo.com,2018-01-06,1971-6-17,0,,,yes,no,FR96262317697582284
mem-9714080,Chang,Pointer,M,+33 632 135126,Chang.Pointer88@mail.com,2019-01-13,1989-7-5,0,,,yes,no,LU14144952513171648
mem-8649963,Steffanie,Pointer,M,+33 632 342602,Steffanie-Pointer60@HEC.com,2017-02-03,1985-7-4,0,,,no,no,FR32333148683379207
mem-2331394,Lynetta,Callejas,F,+33 632 214891,Lynetta_Callejas45@gmail.com,2017-02-16,2001-6-26,0,,,yes,no,DE42995295239932140
mem-2426507,Zelma,Iraheta,M,+33 632 214865,Zelma_Iraheta62@outlook.com,2017-02-28,1993-10-27,1,lic-429/148201882,2015-6-29,no,yes,FR23181577356621592
mem-1003508,Blanch,Wertman,M,+33 632 381883,Blanch_Wertman73@mail.com,2018-12-14,1991-7-15,0,,,yes,no,FR72725966488638432
mem-7921758,Marcy,Pointer,F,+33 632 782490,Marcy-Pointer13@outlook.com,2019-04-02,1990-10-30,0,,,yes,no,LU44975833814647806
mem-3835624,Jeanine,Iraheta,F,+33 632 103793,Jeanine-Iraheta18@hotmail.com,2019-02-27,1973-4-6,0,,,no,yes,FR14918359241995802
mem-8274901,Clorinda,Bianchi,F,+33 632 467221,Clorinda_Bianchi16@hotmail.com,2017-07-15,1982-3-25,0,,,no,no,FR44627883703310575
mem-1599896,Jaleesa,Iraheta,F,+33 632 186867,Jaleesa_Iraheta51@hotmail.com,2018-10-23,2000-1-9,0,,,yes,no,DE70327732882477993
mem-5274509,Chang,Pesina,F,+33 632 682336,Chang.Pesina61@outlook.com,2018-06-15,1968-2-27,0,,,yes,no,LU76385264662572956
mem-8618305,Blanch,Wertman,M,+33 632 979534,Blanch.Wertman33@gmail.com,2019-01-04,1990-8-6,0,,,yes,yes,FR19120318481649439
mem-8961756,Mao,Winburn,M,+33 632 625725,Mao-Winburn42@outlook.com,2017-11-26,1997-5-15,0,,,no,yes,FR40145219482397304
mem-3580873,Marcy,Watlington,M,+33 632 663266,Marcy.Watlington23@HEC.com,2017-05-25,1970-7-26,1,lic-972/991023554,1988-2-19,no,no,FR84827085741734714
mem-9428037,Yolanda,Pointer,M,+33 632 561071,Yolanda-Pointer46@HEC.com,2018-01-23,2000-8-26,0,,,no,yes,FR93376196078862665
